,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
128,5,3,0xaPq2EZ9pQ9vLuxy6MCHH,Where We Land,spotify:track:0xaPq2EZ9pQ9vLuxy6MCHH,0.838,0.68,0.248,4.86e-06,0.0907,-11.592,0.031,119.944,0.275,44
129,5,4,4THoSHxiabL1rd59iVWu2T,Cold Coffee,spotify:track:4THoSHxiabL1rd59iVWu2T,0.453,0.544,0.529,0.0,0.131,-6.753,0.0256,92.936,0.403,55
130,5,5,3ICdPHubhqTJ4Lm9NEb2W3,She,spotify:track:3ICdPHubhqTJ4Lm9NEb2W3,0.811,0.573,0.344,0.0,0.13,-10.91,0.0361,157.783,0.377,49
131,5,1,3nwbntyppUfLEMorPB40HN,The A Team - Live at the Bedford,spotify:track:3nwbntyppUfLEMorPB40HN,0.728,0.402,0.339,0.0,0.833,-9.574,0.0498,83.194,0.496,39
133,5,3,4HQcJua3wHJLvBvc3gKJTr,The City - Live at the Bedford,spotify:track:4HQcJua3wHJLvBvc3gKJTr,0.545,0.602,0.8,0.0,0.656,-5.91,0.0734,109.921,0.81,36
134,5,4,1lG7S133U7vKOXy0n8WeEL,Fall - Live at the Bedford,spotify:track:1lG7S133U7vKOXy0n8WeEL,0.807,0.494,0.0964,7.13e-05,0.936,-16.691,0.0532,86.676,0.393,37
135,5,5,2c3PILT3ocB6B47pNzi9qs,Wake Me Up - Live at the Bedford,spotify:track:2c3PILT3ocB6B47pNzi9qs,0.792,0.616,0.141,0.0,0.897,-17.161,0.532,107.874,0.361,38
145,x (Deluxe Edition),1,5TvFfDlVoUWZvfqrhTJzD7,One,spotify:track:5TvFfDlVoUWZvfqrhTJzD7,0.877,0.464,0.321,0.0,0.0789,-11.12,0.0418,93.528,0.306,66
146,x (Deluxe Edition),2,0xCA70t1ZA4fa9UOE0lIJm,I'm a Mess,spotify:track:0xCA70t1ZA4fa9UOE0lIJm,0.556,0.697,0.377,0.0,0.0999,-7.755,0.0397,138.754,0.336,68
147,x (Deluxe Edition),3,6K8qKeWo5MsFED7wCR6Kop,Sing,spotify:track:6K8qKeWo5MsFED7wCR6Kop,0.304,0.818,0.67,1.22e-06,0.0601,-4.451,0.0472,119.988,0.939,72
148,x (Deluxe Edition),4,1huvTbEYtgltjQRXzrNKGi,Don't,spotify:track:1huvTbEYtgltjQRXzrNKGi,0.0113,0.806,0.608,0.0,0.635,-7.008,0.0659,95.049,0.849,75
149,x (Deluxe Edition),5,3GKSfF6c3Rv3a1knSjxnXa,Nina,spotify:track:3GKSfF6c3Rv3a1knSjxnXa,0.175,0.791,0.669,0.0,0.33,-7.189,0.146,92.013,0.809,59
150,x (Deluxe Edition),6,1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,0.607,0.614,0.379,0.000464,0.0986,-10.48,0.0476,107.989,0.201,86
151,x (Deluxe Edition),7,5v4sZRuvWDcisoOk1PFv6T,Bloodstream,spotify:track:5v4sZRuvWDcisoOk1PFv6T,0.529,0.66,0.316,0.000294,0.104,-11.567,0.0364,91.207,0.543,70
